Q.NO.,Q.Type,Date,Ministry,Member,Subject,links
60,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ram Mohan Naidu,Shri Kinjarapu",National Creche Scheme,http://164.100.24.220/loksabhaquestions/annex/1710/AS60.pdf
53,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Velusamy,Shri P.",Anganwadi Centres in Tamil Nadu,http://164.100.24.220/loksabhaquestions/annex/1710/AS53.pdf
50,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Dinesh Chandra,Singh,Shri Rajiv Ranjan (Lalan)",Funds to Bihar under ICDS,http://164.100.24.220/loksabhaquestions/annex/1710/AS50.pdf
47,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Roy,Dr. Jayanta Kumar,Singh Deo,Smt. Sangeeta Kumari",POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/1710/AS47.pdf
686,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kataria,Shri Rattan Lal",Promotion of Institutional Deliveries,http://164.100.24.220/loksabhaquestions/annex/1710/AU686.pdf
673,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ravikumar,Shri D.",Menopause Policy,http://164.100.24.220/loksabhaquestions/annex/1710/AU673.pdf
668,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Joshi,Shri Chandra Prakash",Rehabilitation of Orphaned Children,http://164.100.24.220/loksabhaquestions/annex/1710/AU668.pdf
663,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ravindhranath, Shri P.",Malnutrition among Children and Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU663.pdf
662,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kashyap,Shri Dharmendra Kumar",Exploitation of Women at Workplace,http://164.100.24.220/loksabhaquestions/annex/1710/AU662.pdf
648,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Lodhi, Shri Ghanshyam Singh",Self Employment of Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU648.pdf
642,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Shyam Yadav",Sexual Harassment of Women at Workplace,http://164.100.24.220/loksabhaquestions/annex/1710/AU642.pdf
636,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Tagore B,Shri Manickam",Prohibition of Child Marriage,http://164.100.24.220/loksabhaquestions/annex/1710/AU636.pdf
618,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Katara,Shri Kanakmal",Incidents of Dowry Harassment,http://164.100.24.220/loksabhaquestions/annex/1710/AU618.pdf
610,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ajmal, Maulana Badruddin",Undernourished Children,http://164.100.24.220/loksabhaquestions/annex/1710/AU610.pdf
601,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Dharmapuri,Shri Arvind",Utilisation of Funds under POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/1710/AU601.pdf
