Ques No.,Ques Type,Date,Ministry,Member,Subject,links
159,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Neeraj Shekhar,Schemes for welfare of women and children,https://pqars.nic.in/annex/258/AU159.pdf
152,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Abdul Wahab,One Stop Centre for victims of violence against women,https://pqars.nic.in/annex/258/AU152.pdf
149,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Status of malnutrition among children,https://pqars.nic.in/annex/258/AU149.pdf
155,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Syed Nasir Hussain,Malnutrition related diseases causing death,https://pqars.nic.in/annex/258/AU155.pdf
154,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Ram Nath Thakur,Sexual offences against children,https://pqars.nic.in/annex/258/AU154.pdf
148,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Elamaram Kareem,Single mother households among tribal and forest dwelling community,https://pqars.nic.in/annex/258/AU148.pdf
151,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Fauzia Khan,Sexual harassment of women at workplace in the unorganized sector,https://pqars.nic.in/annex/258/AU151.pdf
160,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,Fund Utilization of BBBP,https://pqars.nic.in/annex/258/AU160.pdf
158,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Sandosh Kumar P,Global Hunger Index,https://pqars.nic.in/annex/258/AU158.pdf
150,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,ICDS in Uttar Pradesh,https://pqars.nic.in/annex/258/AU150.pdf
153,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Iranna Kadadi,Hostel for working women in Karnataka,https://pqars.nic.in/annex/258/AU153.pdf
156,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Kanimozhi NVN Somu,Setting up of ‘Poorna Shakti Kendra’ in the country,https://pqars.nic.in/annex/258/AU156.pdf
157,UNSTARRED,07.12.2022,WOMEN AND CHILD DEVELOPMENT,Narain Dass Gupta,"Recent cases of violence, murder and dismembering of women by their partners",https://pqars.nic.in/annex/258/AU157.pdf
2068,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Hardwar Dubey,Awareness about malnutrition among women,https://pqars.nic.in/annex/257/AU2068.pdf
2080,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Elamaram Kareem,Poshan tracker App,https://pqars.nic.in/annex/257/AU2080.pdf
2079,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,VAIKO,Involvement of private sector in Mission Vatsalya Scheme,https://pqars.nic.in/annex/257/AU2079.pdf
2071,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Narhari Amin,Inclusion of AYUSH component in ration provided by Anganwadi centres,https://pqars.nic.in/annex/257/AU2071.pdf
2075,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Samir Oraon,Providing scooty to the employees for monitoring Anganwadi centers in Jharkhand,https://pqars.nic.in/annex/257/AU2075.pdf
2072,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,S. Selvaganabathy,Scheme for Adolescent Girls,https://pqars.nic.in/annex/257/AU2072.pdf
193,STARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,S. Selvaganabathy,Funds for repairs of Anganwadi centres in the country,https://pqars.nic.in/annex/257/AS193.pdf
2077,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,A. A. Rahim,Children orphaned due to COVID-19 pandemic,https://pqars.nic.in/annex/257/AU2077.pdf
185,STARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Kanimozhi NVN Somu,Funds to State Women Commission,https://pqars.nic.in/annex/257/AS185.pdf
2073,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Kumar Ketkar,Cases under POCSO Act,https://pqars.nic.in/annex/257/AU2073.pdf
2076,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Ashok Kumar Mittal,Additional OSCs for women empowerment,https://pqars.nic.in/annex/257/AU2076.pdf
2078,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Neeraj Dangi,Number of Anganwadis in the country,https://pqars.nic.in/annex/257/AU2078.pdf
2070,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Phulo Devi Netam,Proposals appraised under the Nirbhaya fund,https://pqars.nic.in/annex/257/AU2070.pdf
2067,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,Distribution of fortified rice,https://pqars.nic.in/annex/257/AU2067.pdf
2074,UNSTARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Bikash Ranjan,Cases on violations of the RTE Act,https://pqars.nic.in/annex/257/AU2074.pdf
186,STARRED,03.08.2022,WOMEN AND CHILD DEVELOPMENT,Shaktisinh Gohil,Disruptions in Anganwadi Centres,https://pqars.nic.in/annex/257/AS186.pdf
117,STARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Juvenile observation homes,https://pqars.nic.in/annex/257/AS117.pdf
1277,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,K.R. Suresh Reddy,Investment in Anganwadis,https://pqars.nic.in/annex/257/AU1277.pdf
1276,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Deepak Prakash,Target for National Nutrition Mission,https://pqars.nic.in/annex/257/AU1276.pdf
111,STARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Narhari Amin,Service rendered by One Stop Centres,https://pqars.nic.in/annex/257/AS111.pdf
1278,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Vinay Dinu Tendulkar,Status of creches,https://pqars.nic.in/annex/257/AU1278.pdf
1274,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Scheme for overall development of rural women and children in Uttar Pradesh,https://pqars.nic.in/annex/257/AU1274.pdf
1275,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,L. Hanumanthaiah,IEG report on the impact of scholarship on reducing child marriage,https://pqars.nic.in/annex/257/AU1275.pdf
1273,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Muzibulla Khan,Acute level of severe malnutrition in districts of the country,https://pqars.nic.in/annex/257/AU1273.pdf
1272,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,V. Vijayasai Reddy,Malnutrition free by 2022,https://pqars.nic.in/annex/257/AU1272.pdf
1270,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,P. Wilson,Details of Draft National Policy for Women,https://pqars.nic.in/annex/257/AU1270.pdf
1271,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Prakash Javadekar,Initiatives for women empowerment,https://pqars.nic.in/annex/257/AU1271.pdf
1269,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Dhiraj Prasad Sahu,Anganwadi centres and mini Anganwadi centres operational in Jharkhand,https://pqars.nic.in/annex/257/AU1269.pdf
1268,UNSTARRED,27.07.2022,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,"Beti Bachao, Beti Padhao (BBBP) scheme",https://pqars.nic.in/annex/257/AU1268.pdf
474,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Effect of pornographic content on children,https://pqars.nic.in/annex/257/AU474.pdf
475,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Increasing budget allocation for Sakhi-One Stop Center and Swadhar Greh Scheme,https://pqars.nic.in/annex/257/AU475.pdf
472,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Gender-based violence and social security,https://pqars.nic.in/annex/257/AU472.pdf
473,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Kirodi Lal Meena,Increasing crime against women,https://pqars.nic.in/annex/257/AU473.pdf
41,STARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Seema Dwivedi,Living standards of women and children working in brick industry,https://pqars.nic.in/annex/257/AS41.pdf
480,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Children forced to leave their homes during lockdown,https://pqars.nic.in/annex/257/AU480.pdf
478,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,A. A. Rahim,Violence against children in schools,https://pqars.nic.in/annex/257/AU478.pdf
477,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,V. Sivadasan,Preventable child deaths,https://pqars.nic.in/annex/257/AU477.pdf
476,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Neeraj Dangi,Criteria for recruitment of Anganwadi workers,https://pqars.nic.in/annex/257/AU476.pdf
43,STARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Raghav Chadha,"Failure to meet objectives of Beti Bachao, Beti Padhao Scheme",https://pqars.nic.in/annex/257/AS43.pdf
479,UNSTARRED,20.07.2022,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Linking of Aadhaar card for Supplementary Nutrition programme,https://pqars.nic.in/annex/257/AU479.pdf
3999,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,Impact of COVID-19 pandemic on child malnutrition and stunting,https://pqars.nic.in/annex/256/AU3999.pdf
3994,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Underutilisation of funds under CPS Scheme,https://pqars.nic.in/annex/256/AU3994.pdf
3995,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Growing malnutrition among women and children during Corona pandemic,https://pqars.nic.in/annex/256/AU3995.pdf
373,STARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Children who lost their parents due to COVID-19 pandemic,https://pqars.nic.in/annex/256/AS373.pdf
3996,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Ajay Pratap Singh,Funds disbursed under BBBP to Madhya Pradesh,https://pqars.nic.in/annex/256/AU3996.pdf
4000,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,K.R.N. Rajeshkumar,Children deprived of daily nutritional diet,https://pqars.nic.in/annex/256/AU4000.pdf
3988,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Beneficiaries of Swadhar Greh scheme in Maharashtra,https://pqars.nic.in/annex/256/AU3988.pdf
3992,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Saroj Pandey,Central and State share in honorarium to Anganwadi workers,https://pqars.nic.in/annex/256/AU3992.pdf
3986,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,T.G. Venkatesh,Utilization of funds released under NNM,https://pqars.nic.in/annex/256/AU3986.pdf
3991,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Mamata Mohanta,Anganwadi centres in Odisha,https://pqars.nic.in/annex/256/AU3991.pdf
3990,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,John Brittas,Atrocities against women and children,https://pqars.nic.in/annex/256/AU3990.pdf
371,STARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Satish Chandra Dubey,Anganwadi Centres,https://pqars.nic.in/annex/256/AS371.pdf
3989,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Satish Chandra Dubey,Nirbhaya fund in Odisha,https://pqars.nic.in/annex/256/AU3989.pdf
3933,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,L. Hanumanthaiah,Malnutrition free India,https://pqars.nic.in/annex/256/AU3933.pdf
3987,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Kanimozhi NVN Somu,Swadhar Grehs currently operational/set up,https://pqars.nic.in/annex/256/AU3987.pdf
